Category,Sub-Category,Description
Telephony,General Voice Activity/Inquiry,Any voice-related activity/inquiry that are not on the list.
Talent as a Service,TaaS | Employee Movements - Lateral Movement,Tickets related to lateral movements of employees within the organization.
Talent as a Service,TaaS | Employee Movements - Promotion Request,Tickets for processing requests for employee promotions.
Talent as a Service,TaaS | Employee Movements - Regularization Inquiry,Tickets for inquiries regarding employee regularization processes.
Talent as a Service,TaaS | Employee Movements - Salary Increase Request,Tickets for handling requests for salary increases from employees.
Talent as a Service,TaaS | General Inquiry and Consultation,Tickets for general inquiries or consultation requests related to payroll and benefits
Talent as a Service,Taas | Incentive Request,Tickets for processing requests for incentives or rewards for employees.
Talent as a Service,TaaS | Performance Evaluation Review,Tickets related to performance evaluation reviews for employees.
Talent as a Service,TaaS | Offboarding Inquiry,Tickets for handling inquiries related to employee offboarding processes.
Talent as a Service,Taas | Disciplinary Management,Tickets related to managing disciplinary actions or processes for employees.
Talent as a Service,TaaS | Others,
Talent as a Service,TaaS | Sprout - Change in Personal Information,Tickets related to requests for changes in personal information in the Sprout system.
Talent as a Service,TaaS | Sprout - Creation/Deactivation Request,Tickets for requesting the creation or deactivation of accounts in the Sprout system.
Talent as a Service,TaaS | Sprout - Sprout Unlock/ Reset Request,Tickets for requesting account unlock or password reset in the Sprout Payroll system.
Talent as a Service,TaaS | Dispute Inquiery,Tickets for inquiries or disputes related to various aspects of talent management and payroll.
Talent as a Service,TaaS | General Inquiry,Tickets for general inquiries related to talent management processes and payroll.
Talent as a Service,TaaS | Medical Emergencies,Tickets for handling medical emergencies or related inquiries.
Talent as a Service,TaaS | HMO Requests,Tickets for processing requests related to Health Maintenance Organization (HMO) benefits.
Talent as a Service,TaaS | Government Mandated Benefits (SSS PHIC and HDMF) Inquiry,"Tickets for inquiries related to government-mandated benefits such as Social Security System (SSS), Philippine Health Insurance Corporation (PhilHealth), and Home Development Mutual Fund (HDMF/Pag-IBIG)."
Talent as a Service,TaaS | Canvassing/Price Quotation,Tickets for conducting canvassing activities or providing price quotations for services or products.
Talent as a Service,TaaS | Delivery Confirmation,Tickets for confirming the delivery of goods or services.
Talent as a Service,TaaS | Other Inquiries and Requests,Tickets for handling inquiries or requests not covered by other specific categories.
Talent as a Service,TaaS | Purchase Order Processing,Tickets for processing purchase orders for goods or services.
Talent as a Service,TaaS | Account Review/Reconciliatation,Tickets for reviewing or reconciling accounts related to talent management processes.
Talent as a Service,TaaS | Billing Dispute,Tickets for disputing billing-related issues.
Talent as a Service,TaaS | For desktops laptops monitors headsets webcams keyboards mouse etc.,"Tickets for inquiries or requests related to the procurement or maintenance of desktops, laptops, peripherals, and accessories."
Talent as a Service,TaaS | Refund / Deposit Request,Tickets for processing requests for refunds or deposit refunds.
Talent as a Service,TaaS | Visa Processing Inquiry,Tickets for inquiries related to visa processing for employees.
Talent as a Service,TaaS | General Legal and Compliance Inquiries,Tickets for inquiries related to legal and compliance matters in talent management.
Talent as a Service,TaaS | Desktop Rental Quotation and Order Form,Tickets for providing quotations and processing orders for desktop rentals.
Talent as a Service,TaaS | Laptop Rental Quotation and Order Form,Tickets for providing quotations and processing orders for laptop rentals.
System Security,High Severity Alert,
System Security,Low Severity Alert,
System Security,Vulnerability Assessment,Any tickets associated with the assessment and identification of vulnerabilities in Systems/servers Security. Mostly an internally planned/scheduled evaluation.
System Security,Vulnerability Remediation,Any tickets associated with system/server security concerns or findings and evaluation results that require resolution from both the SOC (Security Operations Center) or the Systems Team.
Software,Configuration Assistance,Request to configure or update an application.
Software,Application Issue,Issues with any desktop application.
Software,Application Installation/Unistallation,Request to install/uninstall an application.
Services Management,Active Directory Services,"Any ticket related to the Active Directory (i.e., Computer, Group Policy, and Security Group)"
Services Management,Access Permission,Any ticket requesting access to shared drives & VPN
Services Management,Adobe Product,"Support or assistance with an Adobe product, such as installation, troubleshooting, or licensing inquiries."
Services Management,BitDefender,"Support or assistance with BitDefender, our antivirus and cybersecurity solution, to address security concerns or resolve software-related issues."
Services Management,Joan Services,"P3: Add or remove a new device in Joan Services for enhanced functionality and device management.
 P2: Any issue related joan syncing in calendar and joan device is not functioning. Initial troubleshooting must assign to OSS first."
Services Management,Kiosk Management,"Kiosk tablet management support, including setup, maintenance, and troubleshooting to ensure optimal functionality."
Services Management,Microsoft Dynamics NAV Issue,"Resolve an issue with the Microsoft Dynamics NAV application, ensuring seamless functionality."
Services Management,PaperCut ID,Any request for paper cut ID or printer pin ID. This only applies for the printers links to papercut system.
Services Management,Printer Configuration,Assistance with the setup and configuration of a printer for seamless and efficient printing operations.
Services Management,Rublon,"Assistance with Rublon, a multi-factor authentication solution, to enhance security and access control for user accounts."
Services Management,Sophos - Machine Isolation/Removal,"Removal of a machine from Sophos, the antivirus and security management system, to ensure proper system management and security compliance."
Server Projects,Server New Service Implementation,"Initiating a server-based project for implementing a new service, ensuring seamless integration and efficient deployment."
Server Projects,Server Rebuild,Initiating a Server Rebuild Project to enhance system performance and security by rebuilding and upgrading server infrastructure.
Server Projects,Server Refresh,"Comprehensive server refresh project implementation to enhance performance, security, and overall system efficiency within the organization's IT infrastructure."
Server Projects,Systems Audit,Initiating a comprehensive systems audit project to assess and enhance the security and efficiency of IT infrastructure.
Server Management,Server Backup Management,"Backup management services to ensure data security, integrity, and accessibility & Issue with the backup process, seeking resolution to ensure data integrity and system reliability. Requests for data backup, disaster recovery planning, and restoration of server data in case of data loss or system failures. Issue with the backup process, seeking resolution to ensure data integrity and system reliability."
Server Management,Server Decommissioning,"Request to decommission a server, including data backup, service termination, and hardware disposal in a secure and compliant manner."
Server Management,Server Deployment and Configuration,"Requests related to setting up new servers, configuring server hardware and software, and ensuring they are ready for use."
Server Management,Server Health Monitoring,A routine server health monitoring and performance to ensure optimal operation and proactive issue detection.
Server Management,Server Issue,"Requests to address server-related issues, diagnose problems, and implement solutions to restore server functionality."
Server Management,Server Security and Access Control,"Requests concerning server security measures, access permissions, and authentication protocols to safeguard server data and resources."
Server Management,Server Upgrade and Hardware Replacement,"Requests for server hardware upgrades, component replacements, and technology refreshes."
Server Management,Server VM Management,"Requests related to virtual server environments, including provisioning, management, and optimization of virtualized servers."
Server Management,SSL License,"Tickets related to SSL license provisioning, renewal, removal."
Project Quality Summary,Punchlist Insight and Summary,Any tickets related to provide punchlist summary and insight.
Procurement,BOC Clearance,Tickets related to international shipments.
Procurement,Calculation of Asset Value,Request to calculate the value of an asset (depreciated value or otherwise).
Procurement,General Procurement Inquiry,Any request handled by the TS Procurement that is not on the list.
Procurement,Government Permit,Ticket for government permit processing.
Procurement,Payment/Invoices/Liquidation,"Tickets related to payments, invoices, and liquidation."
Procurement,Purchase Request,"Ticket for purchase, replenishment, or buffer requests."
Procurement,Quotation Request,Ticket for quotation requests and revision of quotation.
Procurement,Report,Ticket for purchased assets report.
Procurement,Vendor Coordination,Ticket TS Procurement when coordinating with a vendor regarding a concern with a purchased asset.
PRO Vendor Payment,Invoice Posting,Any request that requires payment processing as long as with PO in place and/or amount above Php 20K
PRO Vendor Payment,Invoice Revision,"Any request that requires changes/revision to the invoice such as amount discrepancy, quantity discrepancy and other similar issues related to invoice that requires changes"
PRO Vendor Accreditation,Vendor verification,Any request that requires verification if a certain vendor is an existing accredited to KMC
PRO Vendor Accreditation,Vendor sourcing,Any request that requires specific or list of vendors capable of catering to a specific scope of work
PRO Vendor Accreditation,New vendor accreditation,Any request that requires registration of a new vendor in NAV
PRO Vendor Accreditation,Vendor Documents,Any ticket endorsing a copy or additional documents that supports the legitimacy of a vendor
PRO Vendor Accreditation,Vendor Card Creation,Any request for vendor card creation as long as an existing and registered vendor from other entities in NAV
PRO Purchase Order Processing,PO Processing Only,Any purchase request amounting Php 20K and above. With an approved canvass sheet and/or approval from the department head to proceed the request
PRO Purchase Order Processing,Price Negotiation + PO Processing,
PRO Purchase Order Processing,Canvassing + PO Processing,For delisting. No more hybdrid request in the future
PRO Purchase Order Processing,New Vendor Accreditation + PO Processing,For delisting. No more hybdrid request in the future
PRO Purchase Order Processing,Canvassing + Vendor Accreditation + PO Processing,For delisting. No more hybdrid request in the future
PRO Delivery Confirmation,Delivery Dates,Inquiry on the date of delivery or the schedule of installation
PRO Delivery Confirmation,Notice of Incomplete Delivery,Any request to notify the incomplete or unfinished delivery/installation/service
PRO Delivery Confirmation,Delivery Documents,Any ticket endorsing a copy of Sales Invoice and Delivery Receipts
PRO Canvassing,New - Item / Service,Request to source vendor/s for a specific goods/services
PRO Canvassing,Reorder - Item / Service,Request to source and purchase previous item/service. Requestor to provide previous PO and vendor for reference
PRO Canvassing,Ocular/Sample + Canvassing,Any request that requires sourcing for a particular scope of work or goods
Printer,Access Request,Request access/connection to the printer.
Printer,Change Toner,Request to change the printer toner.
Printer,Issue,Issue related to the printer.
Printer,Printing Services,Request to print or scan a document.
Printer,Set up,Request to setup a printer (physically setting up the printer).
PQS - Vendor Assessment?,New Accredited Vendor Interview,Any tickets related to new vendor for interview.
PQS - Vendor Assessment?,New Accredited Vendor Ocular Visit,Any tickets related to assisting new vendor for ocular visit.
PQS - Vendor Assessment?,New Vendor Capability Review?,Any tickets related to reviewing the company profile of new vendor.
PQS - Project Estimate?,Initial Detailed Cost Estimate?,Any tickets related to generation of initial detailed cost estimate.
PQS - Project Estimate?,Revise Detailed Cost Estimate?,Any tickets related to revision of detailed cost estimate.
PQS - Project Estimate?,OSM Quantifying,Any tickets related to quantifying of OSM materials.
PQS - Project Estimate?,Revise Budgetary Cost Estimate,Any tickets related to revision of budgetary cost estimate.
PQS - Project Estimate?,Initial Budgetary Cost Estimate?,Any tickets related to generation of initial budgetary cost estimate.
PQS - Pre-Project Phase,Release for Bidding / Vendor Quotation,Any tickets related to release for bidding to invited vendors.
PQS - Pre-Project Phase,Ocular Inspection with Gencon,Any tickets related to assisting the vendors for ocular inspection.
PQS - Pre-Project Phase,Project Quantifying,Any tickets related to quantifying of project based on floor plan.
PQS - Pre-Project Phase,Respond to Bid Queries,Any tickets related to answering the bid queries of vendors.
PQS - Pre-Project Phase,Cost Comparison Review,Any tickets related to generating and review of cost comparison based on the submitted cost of vendors.
PQS - Pre-Project Phase,BOM Request,Any tickets related to asking of bill of material for the specific project.
PQS - Pre-Project Phase,Initial BOM Review,Any tickets related to review of initial bill of material.
PQS - Pre-Project Phase,Revise BOM Review,Any tickets related to review of revised bill of material.
PQS - Pre-Project Phase,Vendor Quotation/BOM Request,Any tickets related to asking of bill of material for the specific project.
PQS - Post Project Phase,VO Quotation Request,Any tickets related to variation order quotation request.
PQS - Post Project Phase,VO Cost Review,Any tickets related to variation order quotation review.
PQS - Post Project Phase,Additive-Deductive Review,Additive-Deductive Review
PQS - Post Project Phase,Post Game Analysis,Any tickets related to inpuuting analysis for post project.
PQS - Ongoing Project Phase,VO Quotation Request,Any tickets related to variation order quotation request.
PQS - Ongoing Project Phase,VO Cost Review,Any tickets related to variation order quotation review.
PQS - Ongoing Project Phase,Change Order Request,Any tickets related to change order quotation review.
PQS - Contractor Awarding?,Draft of Construction Agreement,Any tickets related to drafting of construction agreement for awarded vendor.
PQS - Contractor Awarding?,Construction Agreement Issuance & Signing,Any tickets related to construction agreement issuance and signing of KMC and vendor.
PQS - Contractor Awarding?,Draft of Notice to Award & Rejection Notice,Any tickets related to drafting of notice to award and rejection notice to vendors.
PQE - Site Inspection,Testing and Commissioning,Any tickets related for testing and commissioning in site.
PQE - Site Inspection,Project Initial Punchlist (50%),Any tickets related to initial punchlist of project at 50%.
PQE - Site Inspection,Quality Assessment / Verification,Any tickets related to quality checking in site.
PQE - Site Inspection,Project Initial Punchlist (80-90%),Any tickets related to initial punchlist of project at 80%-90%.
PQE - Plan Review Request,Mechanical Plan,Any tickets related to review of mechanical plan.
Power,UPS/PDU Failure,UPS/PDU Failure
Power,Switch Backup Power Supply,Switch Backup Power Supply
PO Processing,PO Processing,Any ticket related to Processing of purchase orders specifically for Zoom clients.
PO Processing,Canvassing + PO Processing,Any ticket related to Combined activities of canvassing and purchase order processing for Zoom clients.
PO Processing,New Vendor Accreditation + PO Processing,"Any ticket related to Accreditation of new vendors along with purchase order processing, customized for Zoom clients."
PO Processing,Canvassing + Vendor Accreditation + PO Processing,"Any ticket related to comprehensive process involving canvassing, vendor accreditation, and purchase order processing for Zoom clients."
PM Testfit request,Initial Testfit (New Build / Refresh),New build testfit request
PM Testfit request,Initial Testfit (Office Modification),office Space testfit request
PM Testfit request,Revise Testfit (New Build/ Refresh),Revise testfit due to commented
PM Testfit request,Revise Testfit (Office Modification),Revise testfit due to client's comment as submitted from the first request
PM Request,Construction Bond Refund,Securing of construction deposit/bond posted to the building landlords
PM Request,Engineering Consultation,Technical consulation on PM side
PM Request,Floorplan/As-built Review & Approval (Audit/BP/OP/),"Review of vetting, construction, built plans and similar drawings"
PM Request,New Build Implementation,Implementation of a new project
PM Request,Non-Urgent: Info/Coordination Request,Non urgent request for information or details
PM Request,Project Timeline Request,Request for gannt chart or milestones
PM Request,Site Handover Acceptance (Pre & Post Construction),Handover of a completed project to other entities
PM Request,Site Punchlist Walkthrough/ Handover Assessment,Facilitating of punchlist though a walktrough on a scheduled day
PM Request,Testfit Implementation,new small scale project implementation
PM Request,Urgent: Info/Coordination Request,Urgent request for information or details
PM Request,Planradar App Punchlist Updating,Updating/raising additional punchlsit items on planradar app
PM Request,Progress Billing Evaluation & Signature,Request for review and checking of the progress billing by vendors
PM Request,New Material Review,Review and assessment of the new product to be employed in our potential project
PM Request,Methodology Request,Method of statment for a particular execution of scope of works
PM Request,COC Evaluation & Signature,Review of all requirments prior to sugning of the certificate of completion by the vendors
PM OSM Request,Canvass approval / Vendor Cost Approval (under 20k),"Approval and processing for Php 20,000.00 below purchase"
PM OSM Request,Canvassing OSM Alternatives,Canvassing other alternative options whether out of stock or value engineered
PM OSM Request,Sourcing/Shopping/Site Accessorizing,"Sourcing design accessorizing (vases, plants and etc) request for build projects"
PM Office Info Request,PEZA Office Areas,Generates Peza office site square meter requirement for PEZA
PM Office Info Request,PEZA As-built print signed and sealed,Generates request from PEZA renewal business permit requirements
PM Office Info Request,Floorplan / Evacuation Plan Updating,Generates evacuation plans per site and request for update
PM Office Info Request,Floorplan Copy Request,Floor plan request as updated and reference.
PM Design Request,Technical Detail Drawing Request,Drawing request for technical and detialed request.
PM Design Request,3D Walkthrough,Request walkthrough and VR view of prepared 3d skecthup
PM Design Request,Render (2 to 3 views),3D request rendered perspective view
PM Design Management,Urgent: RFA/RFI Response for Builds,Request for information context of construction or building projects to provide comprehensive infromation packet to address the outlined
PM Design Management,RFA/RFI/Techinical Coordination,"providing request of infromation relevant to methodologies, specifications and details"
PM Design Management,Site Check,Requesting designer to visit a site to gather infroamation
PM Design Management,OSM Checklist/Internal Dept Design Coordination Tasks,Owner Supply Material identifying the specification request in preparation for canvassing cost.
PM Costing Request,Vendor/Contractor Quotation Request,
PM Costing Request,Revise Cost Estimate,
PM Costing Request,Revise BOM Review,
PM Costing Request,Initial Cost Estimate,
PM Costing Request,Initial BOM Review,
PM Compliance Request,Evacuation Plan update and Print,
PM Compliance Request,PEZA As-built print signed and sealed,
People Experience,PEX Training Request (Internal),Requests for training programs or sessions organized internally within the company for employee development.
People Experience,PEX Training Request (External),Requests for training programs or sessions organized externally by third-party providers for employee development.
People Experience,PEX Training Report,"Reports generated from training activities, including attendance, feedback, and outcomes."
People Experience,PEX Pubmats/Collaterals Request,Requests for promotional materials or collaterals related to training programs.
P&C Verification,Eligibility for Rehire (for Talent Acquisition Only),"Tickets regarding inquiries or requests for determining an individual's eligibility for rehire, to be handled exclusively by the Talent Acquisition team."
P&C Verification,Credit Card/Cash Advance Limit (for Finance Only),"Tickets pertaining to inquiries or requests regarding credit card or cash advance limits, specifically designated for the Finance team's attention."
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for Online Certification of Government Loan Application,"Tickets for requesting online certification of government loan applications, such as Pag-IBIG or SSS loans."
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for Continuation of Government Loan from Previous Employer,"Tickets for requesting continuation of government loans from a previous employer, such as Pag-IBIG or SSS loans."
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for Certificate of Contribution - SSS|Philhealth|Pag-Ibig,"Tickets for requesting certificates of contribution for SSS, PhilHealth, or Pag-IBIG contributions."
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for Manual Certification of Pag-Ibig Loan Application,Tickets for requesting manual certification of Pag-IBIG loan applications.
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for Philhealth forms (for hospitalization purposes),Tickets for requesting PhilHealth forms for hospitalization purposes.
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for Increase in Pag-Ibig Contribution,Tickets for requesting an increase in Pag-IBIG contributions.
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for Salary Deduction of MP2 savings,Tickets for requesting salary deductions for Pag-IBIG MP2 savings.
P&C SSS | Pag-Ibig | Philhealth | BIR,Request for TIN Verification,Tickets for requesting verification of Taxpayer Identification Numbers (TINs).
P&C SSS | Pag-Ibig | Philhealth | BIR,"Other SSS, Philhealth, Pag-Ibig, and BIR Concerns","Tickets for inquiries or requests related to other concerns regarding SSS, PhilHealth, Pag-IBIG, or BIR."
P&C Resignation/Offboarding,Offboarding request (for People Managers only),Tickets for People Managers to initiate offboarding processes for resigned employees.
P&C Resignation/Offboarding,Computation of remaining leave credits,Tickets for employees requesting the computation of their remaining leave credits upon separation.
P&C Resignation/Offboarding,Clearance follow up,"Follow ups or status checks on the clearance of departing employees, ensuring all necessary steps are completed."
P&C Resignation/Offboarding,Offboarding-related inquiries,"Tickets for inquiries related to offboarding processes, procedures, documentation, or other related matters."
P&C Reports,Simple Reports,"Tickets for requesting or generating simple, straightforward reports that do not require extensive data analysis or interpretation."
P&C Reports,Complex Reports / Reports Requiring Analytics,"Tickets for requesting or generating complex reports that involve data analysis, interpretation and/or recommendation."
P&C Performance/Coaching,3rd Month Performance Review upload,Submission of 3rd month performance review documents or evaluations for upload in HRIS.
P&C Performance/Coaching,5th Month Performance Review upload,Submission of 5th month performance review documents or evaluations for upload in HRIS.
P&C Performance/Coaching,Request for Performance Review Form,Requests for performance review forms or templates for employee evaluations.
P&C Performance/Coaching,Coaching Logs upload,Submission of coaching logs or feedback records for upload in HRIS.
P&C Performance/Coaching,Request for Coaching Logs Form,Requests for coaching log forms or templates for documenting employee coaching sessions.
P&C Performance/Coaching,Performance Improvement Plan Inquiry/Orientation,Inquiries related to Performance Improvement Plans (PIPs) designed to help employees improve their performance.
P&C Performance/Coaching,Failed Probationary Period / End of Probationary Notice,Tickets related to employees who have failed their probationary period or are receiving notices regarding the end of their probationary period.
P&C Performance/Coaching,Other performance-related inquiries,"Tickets for inquiries related to performance management, evaluations, feedback, or any other performance-related matters not covered by specific categories."
P&C Payroll,Request for Bonus / Incentive Computation,Tickets for requesting computation or clarification of bonuses or incentives.
P&C Payroll,Request for Sample Payout Computation,"Tickets for requesting sample computations or estimates of payouts, such as bonuses or final pay."
P&C Payroll,Pay dispute/payroll concern,"Tickets for addressing disputes or concerns regarding pay, payroll processing, or discrepancies."
P&C Payroll,Request for Computation of Final Pay,Tickets for requesting computation of final pay for terminated or resigning employees.
P&C Payroll,Request for Computation of Intern Allowance,Tickets for requesting computation of allowances or stipends for interns.
P&C Payroll,Verification of Salary Range Status,Tickets for verifying the status or details of an employee's salary range or band.
P&C Payroll,Request for Issuance of Authorization To Deduct,Tickets for requesting the issuance of authorization to deduct forms for various purposes.
P&C Payroll,Concerns Related to Sprout and Savii Loans,"Tickets for addressing concerns or inquiries related to Sprout and Savii loans, including application, repayment, terms, or eligibility."
P&C Payroll,Other Payroll-related concerns,"Tickets for addressing payroll-related concerns not covered by specific categories, such as tax inquiries, deductions, or adjustments."
P&C Payroll,Submission of Reimbursement Form and Receipts,Requests for processing of reimbursable allowances that form part of employee compensation.
P&C Others,All other concerns raised to C&B Internal that do not fall under the above categories,"Tickets categorized as ""Other Concerns"" raised to the Compensation and Benefits (C&B) Internal team encompass inquiries, requests, or issues that do not align."
P&C Mental Health / MindNation,All mental health-related inquiries/requests,"Tickets related to inquiries or requests concerning mental health support, benefits, resources and policies."
P&C Leave Benefits,Paternity leave,"Tickets related to inquiries, requests, or processing of paternity leave benefits for eligible employees."
P&C Leave Benefits,Bereavement benefit,"Tickets related to inquiries, requests, or processing of bereavement benefits based on exisitng bereavement guidelines."
P&C Leave Benefits,Solo parent leave,"Tickets related to inquiries, requests, or processing of solo parent leave benefits for eligible employees."
P&C Leave Benefits,Maternity benefit,"Tickets related to inquiries, requests, or processing of maternity leave benefits for eligible employees."
P&C Leave Benefits,Company-initiated leave benefit,Tickets related to inquiries or requests regarding company-intiated or standard KMC leave benefits.
P&C Leave Benefits,Special leave for women and other leave benefits,"Tickets related to inquiries, requests, or processing of special leave benefits for women and other leave benefits that do not fall under the other categories."
P&C Leave Benefits,Compensatory Time Off,"Tickets related to compensatory time off requests, inquiries, or adjustments based on the existing Compensatory Time Off Guidelines."
P&C Internship,Certificate of Partial Completion,Requests for certificate of partial completion of interns enrolled in the internship program.
P&C Internship,Certificate of Completion,Requests for certificate of completion of interns who successfully completed the internship program.
P&C Internship,Internship allowance follow up,Follow ups or inquiries pertaining to internship allowances.
P&C Internship,Checking of current internship hours,Inquiries related to checking of internship hours or tracking progress during the internship program.
P&C Internship,Other Internship Inquiries,Any other inquiries related to internships that do not fit into the other categories.
P&C Inquiries,Generic inquiries – individual contributor,"Generic inquiries from individual contributors regarding HR policies, benefits, procedures, or other related matters."
P&C Inquiries,Team management-related inquiries – inquiries from people managers/leadership team (for People Managers only),"Inquiries from people managers related to team management, leadership, performance management, or other managerial responsibilities, specifically intended for people managers or the leadership team."
P&C Incident Report/Employee Discipline,Incident Report template,Request for incident report template.
P&C Incident Report/Employee Discipline,Incident Report submission / Notice to Explain (NTE) issuance request,Submission of incident reports or requests for issuance of Notice to Explain (NTE) documents.
P&C Incident Report/Employee Discipline,Employee Counselling Form (ECF) submission,Submission of Employee Counselling Forms (ECF) for HR records.
P&C Incident Report/Employee Discipline,Return to Work Order Request,Request for return to work order for employees who have been on unauthorized leave or absence without official leave (AWOL).
P&C HRIS,Personal information update,"Requests to update personal information such as contact details, emergency contacts, or marital status in the HRIS."
P&C HRIS,Marriage Certificate/Birth Certificate/Death Certificate/Solo Parent ID upload,"Requests to upload official documents such as marriage certificates, birth certificates, death certificates, or Solo Parent IDs to the HRIS."
P&C HRIS,HRIS unlock request,Requests to unlock accounts or access in the HRIS.
P&C HRIS,HRIS approver change request,Request to change approvers or immediate supervisor assigned in the HRIS.
P&C HRIS,HRIS work schedule change request,Requests for changes on official work schedules assigned in the HRIS.
P&C HRIS,HRIS filing error / system glitch,Report errors or glitches in the HRIS.
P&C HRIS,Cancellation of Leave/Schedule Adjustment/Official Business,"Requests for cancelling leave applications, schedule adjustment applications, and official business applications."
P&C HRIS,Access level change,Requests for changes to access levels in the HRIS. This is usually applicable for first time people managers.
P&C HRIS,Location update,Tickets for updating location or office assignment details in the HRIS. This is necessary for accurate location tagging and correct payment of location-based holiday premium.
P&C HRIS,Other HRIS requests and inquiries,Tickets for any other requests or inquiries related to the HRIS that do not fit into the other categories.
P&C HR Documents,Certificate of Employment Request,Requests for certificates of employment of existing and former employee.
P&C HR Documents,Non-Disclosure Agreement Request,Requests for issuance of non-disclosure agreements to specific employees.
P&C HR Documents,Memo Request,"Any ticket related to requests for memos or internal communications within the organization. This involves announcements and memorandums for specific teams, departments, or organization-wide."
P&C HR Documents,Employment Contract / Consultancy Agreement request,Requests for issuance of employment contracts or consultancy agreements for internal personnel.
P&C Employee Movement/EAA Request,Endorsement for Salary Increase,Endorsements for salary increases of employees.
P&C Employee Movement/EAA Request,Endorsement for Promotion,"Endorsements for promotion, upward or vertical movement of employees."
P&C Employee Movement/EAA Request,Endorsement for Lateral Movement,Endorsements for lateral movements or transfers within the organization.
