Department,Tech Group,Sub-Category_x,Priority,Description,assistant (For Getlogs only),Category,Sub-Category_y
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,,Billing - Teams,Client Deposit Refund Request
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,,Billing - Teams,Info or Document Request
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,,Billing - Spaces,Info or Document Request
Finance,Billing,New Client for Billing,P1 - Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.,,Billing - Teams,New Client for Billing
Finance,Billing,New Client for Billing,P1 - Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.,,Billing - Spaces,New Client for Billing
Finance,Billing,Other Concerns,P3 - Billing,Any other tickets addressing concerns or issues pertaining to billing.,,Billing - Teams,Other Concerns
Projects & Design,BTS Design,Client Presentation,P2 - BTS Design,"Any ticket related to preparing and delivering presentations to clients, showcasing design concepts and proposals.",,BTS CLIENT MEETING REQUEST,Client Presentation
Projects & Design,BTS Design,Project Scoping / Client Meeting,P1 - BTS Design,Any ticket related to scoping meetings or discussions with clients to understand project requirements and objectives.,,BTS CLIENT MEETING REQUEST,Project Scoping / Client Meeting
Projects & Design,BTS Design,Site Coordination Meetings,P1 - BTS Design,Any ticket related to coordinating meetings with site personnel or stakeholders to discuss design implementation logistics.,,BTS CLIENT MEETING REQUEST,Site Coordination Meetings
Projects & Design,BTS Design,Furniture / Joinery Details,P3 - BTS Design,Any ticket related to developing detailed designs and specifications for furniture and joinery elements within projects.,,BTS DESIGN REQUEST,Furniture / Joinery Details
Projects & Design,BTS Design,3d Modeling + Rendering (minimum of 5 areas),P6 - BTS Design,Any ticket related to creating 3D models and rendering visualizations for a minimum of five designated areas within a project.,,BTS DESIGN REQUEST,3d Modeling + Rendering (minimum of 5 areas)
Projects & Design,BTS Design,3d Modeling without rendering,P5 - BTS Design,Any ticket related to 3D modeling tasks without rendering visualization.,,BTS DESIGN REQUEST,3d Modeling without rendering
Projects & Design,BTS Design,Revision of renders/3D,P4 - BTS Design,Any ticket related to revising and refining previously created renders or 3D models based on client feedback or design iterations.,,BTS DESIGN REQUEST,Revision of renders/3D
Projects & Design,BTS Design,3D Walkthrough (1-3 areas / > 100 sqm),P3 - BTS Design,Any ticket related to creating interactive 3D walkthroughs for projects encompassing one to three designated areas larger than 100 square meters each.,,BTS DESIGN REQUEST,3D Walkthrough (1-3 areas / > 100 sqm)
Projects & Design,BTS Design,3D Walkthrough (4-6 areas / > 300-500 sqm),P4 - BTS Design,Any ticket related to creating interactive 3D walkthroughs for projects encompassing four to six designated areas ranging from 300 to 500 square meters each.,,BTS DESIGN REQUEST,3D Walkthrough (4-6 areas / > 300-500 sqm)
Projects & Design,BTS Design,3D Walkthrough (whole floor areas / > 1000 sqm),P5 - BTS Design,Any ticket related to creating comprehensive 3D walkthroughs covering entire floor areas exceeding 1000 square meters.,,BTS DESIGN REQUEST,3D Walkthrough (whole floor areas / > 1000 sqm)
Projects & Design,BTS Design,Design Pegs & Cost Guide,P3 - BTS Design,"Any ticket related to sourcing design inspiration and creating cost guides for projects, including materials, finishes, and aesthetic references.",,BTS DESIGN REQUEST,Design Pegs & Cost Guide
Projects & Design,BTS Design,Revision of Cost Guide,P2 - BTS Design,"Any ticket related to updating and revising cost guides for projects, including adjustments to material and labor costs.",,BTS DESIGN REQUEST,Revision of Cost Guide
Projects & Design,BTS Design,Wall Accent Design / Glass Frosting Design,P3 - BTS Design,Any ticket related to designing wall accents or glass frosting elements within projects.,,BTS DESIGN REQUEST,Wall Accent Design / Glass Frosting Design
Projects & Design,BTS Design,Material Board,P4 - BTS Design,"Any ticket related to creating material boards, showcasing selected materials and finishes for projects.",,BTS DESIGN REQUEST,Material Board
Projects & Design,BTS Design,Furniture and Material Specifications,P3 - BTS Design,Any ticket related to involving the detailed specification of furniture and materials to be used in project designs.,,BTS DESIGN REQUEST,Furniture and Material Specifications
Projects & Design,BTS Design,3D Walkthrough,P2 - BTS Design,"Any ticket related to creating immersive 3D walkthroughs of project designs, providing clients with virtual tours of the proposed spaces.",,BTS DESIGN REQUEST,3D Walkthrough
Projects & Design,BTS Design,Refresh Initial Design,P5 - BTS Design,Any ticket related to refreshing and refining the initial design concepts based on client feedback or design iterations.,,BTS DESIGN REQUEST,Refresh Initial Design
Projects & Design,BTS Design,Refresh Revision of Design,P4 - BTS Design,Any ticket related to revising and updating design concepts following client feedback or internal reviews.,,BTS DESIGN REQUEST,Refresh Revision of Design
Projects & Design,BTS Design,Office Area / Floorplan Copy / PEZA Info (Subject for Verification of P&D),P1 - BTS Design,"Any ticket related to related to copying and updating office area floorplans, including PEZA (Philippine Economic Zone Authority) information pending verification by Planning and Design.",,BTS OFFICE INFO REQUEST,Office Area / Floorplan Copy / PEZA Info (Subject for Verification of P&D)
Projects & Design,BTS Design,Printing & Signing + Sealing of PEZA Plans,P3 - BTS Design,"Any ticket related to printing, signing, and sealing PEZA plans in compliance with regulatory requirements.",,BTS OFFICE INFO REQUEST,Printing & Signing + Sealing of PEZA Plans
Projects & Design,BTS Design,Canvassing OSM Alternatives / Vendor Costing Request,P3 - BTS Design,Any ticket related to exploring alternatives for OSM compliance and requesting vendor costings for related services or materials.,,BTS OSM Request,Canvassing OSM Alternatives / Vendor Costing Request
Projects & Design,BTS Design,Initial Bid / BOM Review,P1 - BTS Design,Any ticket related to pertaining to the initial review of bids or Bills of Materials (BOM) for construction projects.,,BTS Project Design Management,Initial Bid / BOM Review
Projects & Design,BTS Design,Revised Bid / BOM Review,P1 - BTS Design,Any ticket related to review of revised bids or Bills of Materials (BOM) following updates or modifications to project requirements.,,BTS Project Design Management,Revised Bid / BOM Review
Projects & Design,BTS Design,MEPF Design Review,P3 - BTS Design,"Any ticket related to reviewing Mechanical, Electrical, Plumbing, and Fire Protection (MEPF) designs for construction projects.",,BTS Project Design Management,MEPF Design Review
Projects & Design,BTS Design,Site Coordination Meetings,P1 - BTS Design,"Any ticket related to coordinating and scheduling meetings with site personnel, contractors, and stakeholders to discuss project progress and coordination efforts.",,BTS Project Design Management,Site Coordination Meetings
Projects & Design,BTS Design,Site Walkthrough / Punchlisting,P1 - BTS Design,Any ticket related to on-site walkthroughs for inspection and identification of punch list items or deficiencies that need to be addressed.,,BTS Project Design Management,Site Walkthrough / Punchlisting
Projects & Design,BTS Design,Site Accessorizing,P2 - BTS Design,"Any ticket related to related to accessorizing or enhancing the aesthetics and functionality of construction sites, including the addition of temporary structures or amenities.",,BTS Project Design Management,Site Accessorizing
Projects & Design,BTS Design,Outside of Metro Manila - BTS / KMC Suites / SO,P3 - BTS Design,Any ticket related to elated to testfits or space planning activities outside of Metro Manila.,,BTS SITE INSPECTION / AUDIT REQUEST,Outside of Metro Manila - BTS / KMC Suites / SO
Projects & Design,BTS Design,Initial Testfit (Existing BTS or Service Office Modification),P2 - BTS Design,Any ticket related to initial space planning or testfitting of existing BTS or Service Office properties undergoing modification.,,BTS SPACE PLANNING REQUEST,Initial Testfit (Existing BTS or Service Office Modification)
Projects & Design,BTS Design,Revise Testfit (Existing BTS or Service Office Modification),P2 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for existing BTS or Service Office properties undergoing modification.,,BTS SPACE PLANNING REQUEST,Revise Testfit (Existing BTS or Service Office Modification)
Projects & Design,BTS Design,Initial Testfit (New BTS or KMC Suites) >1000 to 5000 sqm,P4 - BTS Design,Any ticket related to initial space planning or testfitting of new BTS or KMC Suites properties with a floor area ranging from more than 1000 to 5000 square meters.,,BTS SPACE PLANNING REQUEST,Initial Testfit (New BTS or KMC Suites) >1000 to 5000 sqm
Projects & Design,BTS Design,Initial Testfit (New BTS or KMC Suites) >5000 sqm,P6 - BTS Design,Any ticket related to initial space planning or testfitting of new BTS or KMC Suites properties with a floor area exceeding 5000 square meters.,,BTS SPACE PLANNING REQUEST,Initial Testfit (New BTS or KMC Suites) >5000 sqm
Projects & Design,BTS Design,Revise Testfit (New BTS or KMC Suites) <1000 sqm,P2 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area of less than 1000 square meters.,,BTS SPACE PLANNING REQUEST,Revise Testfit (New BTS or KMC Suites) <1000 sqm
Projects & Design,BTS Design,Revise Testfit (New BTS or KMC Suites) >1000 to 5000 sqm,P3 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area ranging from more than 1000 to 5000 square meters.,,BTS SPACE PLANNING REQUEST,Revise Testfit (New BTS or KMC Suites) >1000 to 5000 sqm
Projects & Design,BTS Design,Revise Testfit (New BTS or KMC Suites) >5000 sqm,P4 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area exceeding 5000 square meters.,,BTS SPACE PLANNING REQUEST,Revise Testfit (New BTS or KMC Suites) >5000 sqm
Engineering,Engineering,Bio Repair,P1 - Facilities,Any ticket related to the biometric device and magnetic lock checking and repair request,,FM Cabling,Bio Repair
Engineering,Engineering,Bio Repair,P1 - Facilities,Any ticket related to the biometric device and magnetic lock checking and repair request,,ENG Odoo,Bio Repair
Engineering,Engineering,Bio Installation/Uninstallation,P1 - Facilities,Any request related to the biometric device and magnetic lock installation and uninstallation,,FM Cabling,Bio Installation/Uninstallation
Engineering,Engineering,Bio Installation/Uninstallation,P1 - Facilities,Any request related to the biometric device and magnetic lock installation and uninstallation,,ENG Odoo,Bio Installation/Uninstallation
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,,FM Cabling,CCTV Installation/Uninstallation
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,,ENG Odoo,TV Installation
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,,ENG Odoo,CCTV Installation/Uninstallation
Engineering,Engineering,CCTV Repair,P1 - Facilities,Any ticket related to the CCTV and DVR checking and repair request,,FM Cabling,CCTV Repair
Engineering,Engineering,CCTV Repair,P1 - Facilities,Any ticket related to the CCTV and DVR checking and repair request,,ENG Odoo,CCTV Repair
Engineering,Engineering,General Cabling Works,P1 - Facilities,Any ticket related to cabling works which is not included on the list,,FM Cabling,General Cabling Works
Engineering,Engineering,General Cabling Works,P1 - Facilities,Any ticket related to cabling works which is not included on the list,,ENG Odoo,General Cabling Works
Engineering,Engineering,Port Additional,P1 - Facilities,Any request related to additional port/cable,,FM Cabling,Port Additional
Engineering,Engineering,Port Additional,P1 - Facilities,Any request related to additional port/cable,,ENG Odoo,Port Additional
Engineering,Engineering,Port Relocation,P1 - Facilities,Any request related to port/cable relocatio,,FM Cabling,Port Relocation
Engineering,Engineering,Port Relocation,P1 - Facilities,Any request related to port/cable relocatio,,ENG Odoo,Port Relocation
Engineering,Engineering,Port Repair,P1 - Facilities,Any ticket related to port repair,,FM Cabling,Port Repair
Engineering,Engineering,Port Repair,P1 - Facilities,Any ticket related to port repair,,ENG Odoo,Port Repair
Engineering,Engineering,Quotation Request,P1 - Facilities,ny ticket related to quotation/costing request,,FM Cabling,Quotation Request
Engineering,Engineering,Quotation Request,P1 - Facilities,ny ticket related to quotation/costing request,,ENG Odoo,Quotation Request
Engineering,Engineering,Site Build Layout,P1 - Facilities,"Any request related for new site builds layout (CCTV, Speaker)",,FM Cabling,Site Build Layout
Engineering,Engineering,Site Build Layout,P1 - Facilities,"Any request related for new site builds layout (CCTV, Speaker)",,ENG Odoo,Site Build Layout
Engineering,Engineering,Switch Backup Power Supply,P1 - Facilities,Any request related to power supply,,FM Cabling,Switch Backup Power Supply
Engineering,Engineering,Switch Backup Power Supply,P1 - Facilities,Any request related to power supply,,ENG Odoo,Switch Backup Power Supply
Engineering,Engineering,UPS Preventive Maintenance,P1 - Facilities,Any request related to UPS Semi Annual Preventive maintenance,,FM Cabling,UPS Preventive Maintenance
Engineering,Engineering,UPS Preventive Maintenance,P1 - Facilities,Any request related to UPS Semi Annual Preventive maintenance,,ENG Odoo,UPS Preventive Maintenance
Engineering,Engineering,UPS/PDU Failure,P1 - Facilities,Any issue related to PDU/PS,,FM Cabling,UPS/PDU Failure
Engineering,Engineering,UPS/PDU Failure,P1 - Facilities,Any issue related to PDU/PS,,ENG Odoo,UPS/PDU Failure
Technology Services,CCTV Admin,CCTV Checking,P3 - Planned,Ticket for weekly checking of CCTV.,,CCTV,CCTV Checking
Technology Services,CCTV Admin,CCTV Footage Extraction,P3 - Planned,Request for an extraction of a CCTV footage.,,CCTV,CCTV Footage Extraction
Technology Services,CCTV Admin,CCTV Issue,P2 - General,Tickets related to a CCTV issue.,,CCTV,CCTV Issue
Technology Services,CCTV Admin,CCTV Viewing Assistance,P3 - Planned,Ticket for the On-site Support to assist the client in viewing the CCTV footage they requested.,,CCTV,CCTV Viewing Assistance
Technology Services,CCTV Admin,DVR Password Reset,P3 - Planned,Ticket to update the password of the DVR.,,CCTV,DVR Password Reset
Technology Services,CCTV Admin,General CCTV Inquiry,P3 - Planned,Other CCTV-related inquiries.,,CCTV,General CCTV Inquiry
Technology Services,CCTV Admin,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",,Document,Diagram Creation/Update
Technology Services,CCTV Admin,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,,Document,Floorplan Creation/Update
Technology Services,CCTV Admin,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,,Document,Infographics
Technology Services,CCTV Admin,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,,Document,Knowledgebase
Technology Services,CCTV Admin,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,,Document,Other Documentations
Technology Services,CCTV Admin,Process Plan,P3 - Planned,Any ticket task to create a new process plan,,Document,Process Plan
Technology Services,CCTV Admin,Process Update,P3 - Planned,Any ticket task to update an existing process plan,,Document,Process Update
Technology Services,Network Design Team,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",,Document,Diagram Creation/Update
HR,Compensation & Benefits,Availability of ATM Card,P2 - Compensation & Benefits,Any tickets related to inquiries regarding the availability of their ATM cards.,,C&B - ATM,Availability of ATM Card
HR,Compensation & Benefits,ATM Related Concern Feedback,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to ATM services provided by the company.,,C&B - ATM,ATM Related Concern Feedback
HR,Compensation & Benefits,Request for 2316 for existing employee,P2 - Compensation & Benefits,Any tickets related to Processing requests for BIR Form 2316 for current employees.,,C&B - BIR,Request for 2316 for existing employee
HR,Compensation & Benefits,Computation of Final Pay,P2 - Compensation & Benefits,Any tickets related with the computation of final pay for employees leaving the company.,,C&B - Final Pay,Computation of Final Pay
HR,Compensation & Benefits,Request for 2316 for resigned employee,P2 - Compensation & Benefits,Any tickets requests for BIR Form 2316 for resigned employees.,,C&B - Final Pay,Request for 2316 for resigned employee
HR,Compensation & Benefits,HMO Enrollment upon Hire,P2 - Compensation & Benefits,Any tickets related to Assisting new hires with the enrollment process for Health Maintenance Organization (HMO) benefits.,,C&B - HMO,HMO Enrollment upon Hire
HR,Compensation & Benefits,HMO Related Concerns Feedback via email,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to HMO benefits via email communication.,,C&B - HMO,HMO Related Concerns Feedback via email
HR,Compensation & Benefits,HMO Dependent Enrollment,P2 - Compensation & Benefits,Any tickets related to Assisting employees with the enrollment of their dependents in the company's HMO program.,,C&B - HMO,HMO Dependent Enrollment
HR,Compensation & Benefits,Bank Loan Status,P2 - Compensation & Benefits,Any tickets related to Providing updates on the status of employee bank loans.,,C&B - INTERNAL LOANS,Bank Loan Status
HR,Compensation & Benefits,Benefits availment inquiries,P2 - Compensation & Benefits,Any tickets related to Assisting employees with inquiries regarding the availment of benefits offered by the company.,,C&B - Mental Health,Benefits availment inquiries
HR,Compensation & Benefits,Other mental health benefits-related inquiries,P2 - Compensation & Benefits,Any tickets related to Handling inquiries related to mental health benefits provided by the company.,,C&B - Mental Health,Other mental health benefits-related inquiries
HR,Compensation & Benefits,Employee Housing Subsidy inquiries,P2 - Compensation & Benefits,Any tickets related to Assisting employees with inquiries related to housing subsidies provided by the company.,,C&B - MyTown Housing,Employee Housing Subsidy inquiries
HR,Compensation & Benefits,Request for Pagibig Contribution Certificate,P2 - Compensation & Benefits,Any tickets related to Processing requests for certificates of Pag-IBIG Fund contributions.,,C&B - PAG-IBIG,Request for Pagibig Contribution Certificate
HR,Compensation & Benefits,Pag ibig Loan Approval (Sign),P2 - Compensation & Benefits,Any tickets related to Facilitating the signing of documents related to Pag-IBIG Fund loan approvals.,,C&B - PAG-IBIG,Pag ibig Loan Approval (Sign)
HR,Compensation & Benefits,Pag ibig Loan Status Request,P2 - Compensation & Benefits,Any tickets related to Providing updates on the status of employee Pag-IBIG Fund loans.,,C&B - PAG-IBIG,Pag ibig Loan Status Request
HR,Compensation & Benefits,Pag-Ibig Related Concern Feedback,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to Pag-IBIG Fund services provided by the company.,,C&B - PAG-IBIG,Pag-Ibig Related Concern Feedback
HR,Compensation & Benefits,Viewing of pay slip in HRIS,P2 - Compensation & Benefits,Any tickets related to Assisting employees with accessing and viewing their payslips through the Human Resource Information System (HRIS).,,C&B - Payroll,Viewing of pay slip in HRIS
HR,Compensation & Benefits,CF1 Form MDR Request,P2 - Compensation & Benefits,Any tickets related to Processing requests for CF1 Form Member Data Record (MDR) from the Social Security System (SSS).,,C&B - PHILHEALTH,CF1 Form MDR Request
HR,Compensation & Benefits,Certificate of Contribution - Philhealth,P2 - Compensation & Benefits,Any tickets related to Providing certificates of PhilHealth contributions to employees.,,C&B - PHILHEALTH,Certificate of Contribution - Philhealth
HR,Compensation & Benefits,Philhealth Related Concern Feedback,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to PhilHealth services provided by the company.,,C&B - PHILHEALTH,Philhealth Related Concern Feedback
HR,Compensation & Benefits,Instacash application-related concerns,P2 - Compensation & Benefits,Any tickets related to Handling inquiries or concerns related to the company's Instacash application.,,C&B - Sprout Loans,Instacash application-related concerns
HR,Compensation & Benefits,Request for SSS  Certificate of Contri,P1 - Compensation & Benefits,Tickets for processing requests for certificates of contribution from the Social Security System (SSS).,,C&B - SSS,Request for SSS Certificate of Contri
HR,Compensation & Benefits,Request for SSS Approval Online,P1 - Compensation & Benefits,Tickets related to requesting approvals from the Social Security System (SSS) through online platforms.,,C&B - SSS,Request for SSS Approval Online
HR,Compensation & Benefits,SSS Request for Continuation of Loan (from previous ER),P1 - Compensation & Benefits,Tickets for requesting the continuation of loans from previous employers under the Social Security System (SSS).,,C&B - SSS,SSS Request for Continuation of Loan (from previous ER)
HR,Compensation & Benefits,Sickness Notifications,P1 - Compensation & Benefits,Tickets for processing notifications related to sickness or medical leave benefits.,,C&B - SSS,Sickness Notifications
HR,Compensation & Benefits,Expanded maternity benefits,P1 - Compensation & Benefits,Tickets related to processing requests or inquiries regarding expanded maternity benefits.,,C&B - SSS,Expanded maternity benefits
HR,Compensation & Benefits,SSS Related Concern Feedback,P1 - Compensation & Benefits,Addressing feedback or concerns related to services provided by the Social Security System (SSS).,,C&B - SSS,SSS Related Concern Feedback
HR,Compensation & Benefits,Request for Enrollment in the System,P3 - Compensation & Benefits,Tickets for processing requests for enrollment in the company's compensation and benefits system.,,C&B - SWAT,Request for Enrollment in the System
HR,Compensation & Benefits,SWAT ATD-related concern,P3 - Compensation & Benefits,Tickets related to concerns or inquiries regarding the SWAT ATD system,,C&B - SWAT,SWAT ATD-related concern
HR,Compensation & Benefits,TaaS | Employee Movements - Lateral Movement,P2 - Compensation & Benefits,Tickets related to lateral movements of employees within the organization.,,Talent as a Service,TaaS | Employee Movements - Lateral Movement
HR,Compensation & Benefits,TaaS | Employee Movements - Promotion Request,P2 - Compensation & Benefits,Tickets for processing requests for employee promotions.,,Talent as a Service,TaaS | Employee Movements - Promotion Request
HR,Compensation & Benefits,TaaS | Employee Movements - Regularization Inquiry,P2 - Compensation & Benefits,Tickets for inquiries regarding employee regularization processes.,,Talent as a Service,TaaS | Employee Movements - Regularization Inquiry
HR,Compensation & Benefits,TaaS | Employee Movements - Salary Increase Request,P2 - Compensation & Benefits,Tickets for handling requests for salary increases from employees.,,Talent as a Service,TaaS | Employee Movements - Salary Increase Request
HR,Compensation & Benefits,TaaS | General Inquiry and Consultation,P2 - Compensation & Benefits,Tickets for general inquiries or consultation requests related to payroll and benefits,,Talent as a Service,TaaS | General Inquiry and Consultation
HR,Compensation & Benefits,Taas | Incentive Request,P2 - Compensation & Benefits,Tickets for processing requests for incentives or rewards for employees.,,Talent as a Service,Taas | Incentive Request
