Department,Tech Group,Sub-Category,Priority,Description,assistant (For Getlogs only)
Technology Services,CCTV Admin,Camera Rotate/Disable Request,P3 - Planned,Request to rotate/disable a CCTV.,
Finance,Billing,Billing Dispute,P1 - Billing,Any ticket related to discrepancies or disagreements in billing charges or invoices.,
Finance,Billing,Pro-forma Billing Request,P2 - Billing,Any ticket related on provisional or preliminary billing statements or invoices.,
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,
Finance,Billing,New Client for Billing,P1 - Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.,
Finance,Billing,Account Reconciliation,P1 - Billing,Any ticket concerning the process of comparing financial records to ensure accuracy and consistency.,
Finance,Billing,Client Deposit Refund Request,P1 - Billing,Any ticket related return of deposits made by clients.,
Finance,Billing,Customer Setup,P2 - Billing,Any ticket related to the setup or configuration of customer billing accounts.,
Finance,Billing,Other Request,P3 - Billing,Any ticket for billing-related inquiries or requests not covered by other categories.,
Finance,Billing,Account Reconciliation,P1 - Billing,Any ticket related to the process of comparing financial records to ensure accuracy and consistency.,
Finance,Billing,Billing Dispute,P1 - Billing,Any ticket related to discrepancies or disagreements in billing charges or invoices.,
Finance,Billing,Client Deposit Refund Request,P1 - Billing,Any ticket related return of deposits made by clients.,
Finance,Billing,Info or Document Request,P2 - Billing,Any ticket related on seeking additional information or documentation related to billing matters.,
Finance,Billing,New Client for Billing,P1 - Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.,
Finance,Billing,Other Concerns,P3 - Billing,Any other tickets addressing concerns or issues pertaining to billing.,
Projects & Design,BTS Design,Client Presentation,P2 - BTS Design,"Any ticket related to preparing and delivering presentations to clients, showcasing design concepts and proposals.",
Projects & Design,BTS Design,Project Scoping / Client Meeting,P1 - BTS Design,Any ticket related to scoping meetings or discussions with clients to understand project requirements and objectives.,
Projects & Design,BTS Design,Site Coordination Meetings,P1 - BTS Design,Any ticket related to coordinating meetings with site personnel or stakeholders to discuss design implementation logistics.,
Projects & Design,BTS Design,Furniture / Joinery Details,P3 - BTS Design,Any ticket related to developing detailed designs and specifications for furniture and joinery elements within projects.,
Projects & Design,BTS Design,3d Modeling + Rendering (minimum of 5 areas),P6 - BTS Design,Any ticket related to creating 3D models and rendering visualizations for a minimum of five designated areas within a project.,
Projects & Design,BTS Design,3d Modeling without rendering,P5 - BTS Design,Any ticket related to 3D modeling tasks without rendering visualization.,
Projects & Design,BTS Design,Revision of renders/3D,P4 - BTS Design,Any ticket related to revising and refining previously created renders or 3D models based on client feedback or design iterations.,
Projects & Design,BTS Design,3D Walkthrough (1-3 areas / > 100 sqm),P3 - BTS Design,Any ticket related to creating interactive 3D walkthroughs for projects encompassing one to three designated areas larger than 100 square meters each.,
Projects & Design,BTS Design,3D Walkthrough (4-6 areas / > 300-500 sqm),P4 - BTS Design,Any ticket related to creating interactive 3D walkthroughs for projects encompassing four to six designated areas ranging from 300 to 500 square meters each.,
Projects & Design,BTS Design,3D Walkthrough (whole floor areas / > 1000 sqm),P5 - BTS Design,Any ticket related to creating comprehensive 3D walkthroughs covering entire floor areas exceeding 1000 square meters.,
Projects & Design,BTS Design,Design Pegs & Cost Guide,P3 - BTS Design,"Any ticket related to sourcing design inspiration and creating cost guides for projects, including materials, finishes, and aesthetic references.",
Projects & Design,BTS Design,Revision of Cost Guide,P2 - BTS Design,"Any ticket related to updating and revising cost guides for projects, including adjustments to material and labor costs.",
Projects & Design,BTS Design,Wall Accent Design / Glass Frosting Design,P3 - BTS Design,Any ticket related to designing wall accents or glass frosting elements within projects.,
Projects & Design,BTS Design,Material Board,P4 - BTS Design,"Any ticket related to creating material boards, showcasing selected materials and finishes for projects.",
Projects & Design,BTS Design,Furniture and Material Specifications,P3 - BTS Design,Any ticket related to involving the detailed specification of furniture and materials to be used in project designs.,
Projects & Design,BTS Design,3D Walkthrough,P2 - BTS Design,"Any ticket related to creating immersive 3D walkthroughs of project designs, providing clients with virtual tours of the proposed spaces.",
Projects & Design,BTS Design,Refresh Initial Design,P5 - BTS Design,Any ticket related to refreshing and refining the initial design concepts based on client feedback or design iterations.,
Projects & Design,BTS Design,Refresh Revision of Design,P4 - BTS Design,Any ticket related to revising and updating design concepts following client feedback or internal reviews.,
Projects & Design,BTS Design,Office Area / Floorplan Copy / PEZA Info (Subject for Verification of P&D),P1 - BTS Design,"Any ticket related to related to copying and updating office area floorplans, including PEZA (Philippine Economic Zone Authority) information pending verification by Planning and Design.",
Projects & Design,BTS Design,Printing & Signing + Sealing of PEZA Plans,P3 - BTS Design,"Any ticket related to printing, signing, and sealing PEZA plans in compliance with regulatory requirements.",
Projects & Design,BTS Design,OSM Checklist & Coordination,P3 - BTS Design,Any ticket related to  preparation of OSM (Occupancy Safety and Maintenance) checklists and coordination of related activities.,
Projects & Design,BTS Design,Canvassing OSM Alternatives / Vendor Costing Request,P3 - BTS Design,Any ticket related to exploring alternatives for OSM compliance and requesting vendor costings for related services or materials.,
Projects & Design,BTS Design,Initial Bid / BOM Review,P1 - BTS Design,Any ticket related to pertaining to the initial review of bids or Bills of Materials (BOM) for construction projects.,
Projects & Design,BTS Design,Revised Bid / BOM Review,P1 - BTS Design,Any ticket related to review of revised bids or Bills of Materials (BOM) following updates or modifications to project requirements.,
Projects & Design,BTS Design,MEPF Design Review,P3 - BTS Design,"Any ticket related to reviewing Mechanical, Electrical, Plumbing, and Fire Protection (MEPF) designs for construction projects.",
Projects & Design,BTS Design,Site Coordination Meetings,P1 - BTS Design,"Any ticket related to coordinating and scheduling meetings with site personnel, contractors, and stakeholders to discuss project progress and coordination efforts.",
Projects & Design,BTS Design,Site Walkthrough / Punchlisting,P1 - BTS Design,Any ticket related to on-site walkthroughs for inspection and identification of punch list items or deficiencies that need to be addressed.,
Projects & Design,BTS Design,Site Accessorizing,P2 - BTS Design,"Any ticket related to related to accessorizing or enhancing the aesthetics and functionality of construction sites, including the addition of temporary structures or amenities.",
Projects & Design,BTS Design,Around Metro Manila - BTS / KMC Suites / SO,P1 - BTS Design,Any ticket related to  related to testfits or space planning activities within Metro Manila.,
Projects & Design,BTS Design,Outside of Metro Manila - BTS / KMC Suites / SO,P3 - BTS Design,Any ticket related to elated to testfits or space planning activities outside of Metro Manila.,
Projects & Design,BTS Design,Initial Testfit (Existing BTS or Service Office Modification),P2 - BTS Design,Any ticket related to initial space planning or testfitting of existing BTS or Service Office properties undergoing modification.,
Projects & Design,BTS Design,Revise Testfit (Existing BTS or Service Office Modification),P2 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for existing BTS or Service Office properties undergoing modification.,
Projects & Design,BTS Design,Initial Testfit (New BTS or KMC Suites) <1000 sqm,P3 - BTS Design,Any ticket related to  initial space planning or testfitting of new BTS or KMC Suites properties with a floor area of less than 1000 square meters.,
Projects & Design,BTS Design,Initial Testfit (New BTS or KMC Suites) >1000 to 5000 sqm,P4 - BTS Design,Any ticket related to initial space planning or testfitting of new BTS or KMC Suites properties with a floor area ranging from more than 1000 to 5000 square meters.,
Projects & Design,BTS Design,Initial Testfit (New BTS or KMC Suites) >5000 sqm,P6 - BTS Design,Any ticket related to initial space planning or testfitting of new BTS or KMC Suites properties with a floor area exceeding 5000 square meters.,
Projects & Design,BTS Design,Revise Testfit (New BTS or KMC Suites) <1000 sqm,P2 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area of less than 1000 square meters.,
Projects & Design,BTS Design,Revise Testfit (New BTS or KMC Suites) >1000 to 5000 sqm,P3 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area ranging from more than 1000 to 5000 square meters.,
Projects & Design,BTS Design,Revise Testfit (New BTS or KMC Suites) >5000 sqm,P4 - BTS Design,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area exceeding 5000 square meters.,
Engineering,Engineering,Bio Repair,P1 - Facilities,Any ticket related to the biometric device and magnetic lock checking and repair request,
Engineering,Engineering,Bio Installation/Uninstallation,P1 - Facilities,Any request related to the biometric device and magnetic lock installation and uninstallation,
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,
Engineering,Engineering,CCTV Repair,P1 - Facilities,Any ticket related to the CCTV and DVR checking and repair request,
Engineering,Engineering,General Cabling Works,P1 - Facilities,Any ticket related to cabling works which is not included on the list,
Engineering,Engineering,Port Additional,P1 - Facilities,Any request related to additional port/cable,
Engineering,Engineering,Port Relocation,P1 - Facilities,Any request related to port/cable relocatio,
Engineering,Engineering,Port Repair,P1 - Facilities,Any ticket related to port repair,
Engineering,Engineering,Quotation Request,P1 - Facilities,ny ticket related to quotation/costing request,
Engineering,Engineering,Site Build Layout,P1 - Facilities,"Any request related for new site builds layout (CCTV, Speaker)",
Engineering,Engineering,Switch Backup Power Supply,P1 - Facilities,Any request related to power supply,
Engineering,Engineering,UPS Preventive Maintenance,P1 - Facilities,Any request related to UPS Semi Annual Preventive maintenance,
Engineering,Engineering,UPS/PDU Failure,P1 - Facilities,Any issue related to PDU/PS,
Technology Services,CCTV Admin,CCTV Checking,P3 - Planned,Ticket for weekly checking of CCTV.,
Technology Services,CCTV Admin,CCTV Footage Extraction,P3 - Planned,Request for an extraction of a CCTV footage.,
Technology Services,CCTV Admin,CCTV Issue,P2 - General,Tickets related to a CCTV issue.,
Technology Services,CCTV Admin,CCTV Viewing Assistance,P3 - Planned,Ticket for the On-site Support to assist the client in viewing the CCTV footage they requested.,
Technology Services,CCTV Admin,DVR Password Reset,P3 - Planned,Ticket to update the password of the DVR.,
Technology Services,CCTV Admin,General CCTV Inquiry,P3 - Planned,Other CCTV-related inquiries.,
Technology Services,CCTV Admin,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,CCTV Admin,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,CCTV Admin,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,CCTV Admin,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,CCTV Admin,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,CCTV Admin,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,CCTV Admin,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Network Design Team,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
HR,Compensation & Benefits,Availability of ATM Card,P2 - Compensation & Benefits,Any tickets related to inquiries regarding the availability of their ATM cards.,
HR,Compensation & Benefits,ATM Related Concern Feedback,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to ATM services provided by the company.,
HR,Compensation & Benefits,Request for 2316 for existing employee,P2 - Compensation & Benefits,Any tickets related to Processing requests for BIR Form 2316 for current employees.,
HR,Compensation & Benefits,Computation of Final Pay,P2 - Compensation & Benefits,Any tickets related with the computation of final pay for employees leaving the company.,
HR,Compensation & Benefits,Request for 2316 for resigned employee,P2 - Compensation & Benefits,Any tickets requests for BIR Form 2316 for resigned employees.,
HR,Compensation & Benefits,HMO Enrollment upon Hire,P2 - Compensation & Benefits,Any tickets related to Assisting new hires with the enrollment process for Health Maintenance Organization (HMO) benefits.,
HR,Compensation & Benefits,HMO Related Concerns Feedback via email,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to HMO benefits via email communication.,
HR,Compensation & Benefits,HMO Dependent Enrollment,P2 - Compensation & Benefits,Any tickets related to Assisting employees with the enrollment of their dependents in the company's HMO program.,
HR,Compensation & Benefits,Bank Loan Status,P2 - Compensation & Benefits,Any tickets related to Providing updates on the status of employee bank loans.,
HR,Compensation & Benefits,Benefits availment inquiries,P2 - Compensation & Benefits,Any tickets related to Assisting employees with inquiries regarding the availment of benefits offered by the company.,
HR,Compensation & Benefits,Other mental health benefits-related inquiries,P2 - Compensation & Benefits,Any tickets related to Handling inquiries related to mental health benefits provided by the company.,
HR,Compensation & Benefits,Employee Housing Subsidy inquiries,P2 - Compensation & Benefits,Any tickets related to Assisting employees with inquiries related to housing subsidies provided by the company.,
HR,Compensation & Benefits,Request for Pagibig Contribution Certificate,P2 - Compensation & Benefits,Any tickets related to Processing requests for certificates of Pag-IBIG Fund contributions.,
HR,Compensation & Benefits,Pag ibig Loan Approval (Sign),P2 - Compensation & Benefits,Any tickets related to Facilitating the signing of documents related to Pag-IBIG Fund loan approvals.,
HR,Compensation & Benefits,Pag ibig Loan Status Request,P2 - Compensation & Benefits,Any tickets related to Providing updates on the status of employee Pag-IBIG Fund loans.,
HR,Compensation & Benefits,Pag-Ibig Related Concern Feedback,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to Pag-IBIG Fund services provided by the company.,
HR,Compensation & Benefits,Viewing of pay slip in HRIS,P2 - Compensation & Benefits,Any tickets related to Assisting employees with accessing and viewing their payslips through the Human Resource Information System (HRIS).,
HR,Compensation & Benefits,CF1 Form MDR Request,P2 - Compensation & Benefits,Any tickets related to Processing requests for CF1 Form Member Data Record (MDR) from the Social Security System (SSS).,
HR,Compensation & Benefits,Certificate of Contribution - Philhealth,P2 - Compensation & Benefits,Any tickets related to Providing certificates of PhilHealth contributions to employees.,
HR,Compensation & Benefits,Philhealth Related Concern Feedback,P2 - Compensation & Benefits,Any tickets related to Addressing feedback or concerns related to PhilHealth services provided by the company.,
HR,Compensation & Benefits,Instacash application-related concerns,P2 - Compensation & Benefits,Any tickets related to Handling inquiries or concerns related to the company's Instacash application.,
HR,Compensation & Benefits,Request for SSS  Certificate of Contri,P1 - Compensation & Benefits,Tickets for processing requests for certificates of contribution from the Social Security System (SSS).,
HR,Compensation & Benefits,Request for SSS Approval Online,P1 - Compensation & Benefits,Tickets related to requesting approvals from the Social Security System (SSS) through online platforms.,
HR,Compensation & Benefits,SSS Loan Status Request,P1 - Compensation & Benefits,ickets for inquiring about the status of Social Security System (SSS) loans.,
HR,Compensation & Benefits,SSS Request for Continuation of Loan (from previous ER),P1 - Compensation & Benefits,Tickets for requesting the continuation of loans from previous employers under the Social Security System (SSS).,
HR,Compensation & Benefits,Sickness Notifications,P1 - Compensation & Benefits,Tickets for processing notifications related to sickness or medical leave benefits.,
HR,Compensation & Benefits,Expanded maternity benefits,P1 - Compensation & Benefits,Tickets related to processing requests or inquiries regarding expanded maternity benefits.,
HR,Compensation & Benefits,SSS Related Concern Feedback,P1 - Compensation & Benefits,Addressing feedback or concerns related to services provided by the Social Security System (SSS).,
HR,Compensation & Benefits,Request for Enrollment in the System,P3 - Compensation & Benefits,Tickets for processing requests for enrollment in the company's compensation and benefits system.,
HR,Compensation & Benefits,SWAT ATD-related concern,P3 - Compensation & Benefits,Tickets related to concerns or inquiries regarding the SWAT ATD system,
HR,Compensation & Benefits,Other SWAT-related inquiries,P3 - Compensation & Benefits, Tickets for handling inquiries or concerns related to the SWAT system,
HR,Compensation & Benefits,TaaS | Employee Movements - Lateral Movement,P2 - Compensation & Benefits,Tickets related to lateral movements of employees within the organization.,
HR,Compensation & Benefits,TaaS | Employee Movements - Promotion Request,P2 - Compensation & Benefits,Tickets for processing requests for employee promotions.,
HR,Compensation & Benefits,TaaS | Employee Movements - Regularization Inquiry,P2 - Compensation & Benefits,Tickets for inquiries regarding employee regularization processes.,
HR,Compensation & Benefits,TaaS | Employee Movements - Salary Increase Request,P2 - Compensation & Benefits,Tickets for handling requests for salary increases from employees.,
HR,Compensation & Benefits,TaaS | General Inquiry and Consultation,P2 - Compensation & Benefits,Tickets for general inquiries or consultation requests related to payroll and benefits,
HR,Compensation & Benefits,Taas | Incentive Request,P2 - Compensation & Benefits,Tickets for processing requests for incentives or rewards for employees.,
HR,Compensation & Benefits,TaaS | Performance Evaluation Review,P2 - Compensation & Benefits,Tickets related to performance evaluation reviews for employees.,
HR,Compensation & Benefits,TaaS | Offboarding Inquiry,P2 - Compensation & Benefits,Tickets for handling inquiries related to employee offboarding processes.,
HR,Compensation & Benefits,Taas | Disciplinary Management,P2 - Compensation & Benefits,Tickets related to managing disciplinary actions or processes for employees.,
HR,Compensation & Benefits,TaaS | Sprout - Change in Personal Information,P2 - Compensation & Benefits,Tickets related to requests for changes in personal information in the Sprout system.,
HR,Compensation & Benefits,TaaS | Sprout - Creation/Deactivation Request,P2 - Compensation & Benefits,Tickets for requesting the creation or deactivation of accounts in the Sprout system.,
HR,Compensation & Benefits,TaaS | Sprout - Sprout Payroll Unlock/ Reset Request,P2 - Compensation & Benefits,Tickets for requesting account unlock or password reset in the Sprout Payroll system.,
HR,Compensation & Benefits,TaaS | Dispute Inquiry,P2 - Compensation & Benefits,Tickets for inquiries or disputes related to various aspects of talent management and payroll.,
HR,Compensation & Benefits,TaaS | General Inquiry,P2 - Compensation & Benefits,Tickets for general inquiries related to talent management processes and payroll.,
HR,Compensation & Benefits,TaaS | Medical Emergencies,P2 - Compensation & Benefits,Tickets for handling medical emergencies or related inquiries.,
HR,Compensation & Benefits,TaaS | HMO Requests,P2 - Compensation & Benefits,Tickets for processing requests related to Health Maintenance Organization (HMO) benefits.,
HR,Compensation & Benefits,TaaS | Government Mandated Benefits (SSS PHIC and HDMF) Inquiry,P2 - Compensation & Benefits,"Tickets for inquiries related to government-mandated benefits such as Social Security System (SSS), Philippine Health Insurance Corporation (PhilHealth), and Home Development Mutual Fund (HDMF/Pag-IBIG).",
HR,Compensation & Benefits,TaaS | Canvassing/Price Quotation,P2 - Compensation & Benefits,Tickets for conducting canvassing activities or providing price quotations for services or products.,
HR,Compensation & Benefits,TaaS | Delivery Confirmation,P2 - Compensation & Benefits,Tickets for confirming the delivery of goods or services.,
HR,Compensation & Benefits,TaaS | Other Inquiries and Requests,P2 - Compensation & Benefits,Tickets for handling inquiries or requests not covered by other specific categories.,
HR,Compensation & Benefits,TaaS | Purchase Order Processing,P2 - Compensation & Benefits,Tickets for processing purchase orders for goods or services.,
HR,Compensation & Benefits,TaaS | Account Review/Reconciliatation,P2 - Compensation & Benefits,Tickets for reviewing or reconciling accounts related to talent management processes.,
HR,Compensation & Benefits,TaaS | Billing Dispute,P2 - Compensation & Benefits,Tickets for disputing billing-related issues.,
HR,Compensation & Benefits,TaaS | For desktops laptops monitors headsets webcams keyboards mouse etc.,P2 - Compensation & Benefits,"Tickets for inquiries or requests related to the procurement or maintenance of desktops, laptops, peripherals, and accessories.",
HR,Compensation & Benefits,TaaS | Refund / Deposit Request,P2 - Compensation & Benefits,Tickets for processing requests for refunds or deposit refunds.,
HR,Compensation & Benefits,TaaS | Visa Processing Inquiry,P2 - Compensation & Benefits,Tickets for inquiries related to visa processing for employees.,
HR,Compensation & Benefits,TaaS | General Legal and Compliance Inquiries,P2 - Compensation & Benefits,Tickets for inquiries related to legal and compliance matters in talent management.,
HR,Compensation & Benefits,TaaS | Desktop Rental Quotation and Order Form,P2 - Compensation & Benefits,Tickets for providing quotations and processing orders for desktop rentals.,
HR,Compensation & Benefits,TaaS | Laptop Rental Quotation and Order Form,P2 - Compensation & Benefits,Tickets for providing quotations and processing orders for laptop rentals.,
Customer Success,Customer Success,Power Outage,P2 - Admin,Reporting and addressing power outages within the premises.,
Customer Success,Customer Success,Security Breach/ Theft,P2 - Admin,Reporting incidents of security breaches or theft.,
Customer Success,Customer Success,AC Concerns,P2 - Admin,Addressing concerns related to air conditioning systems.,
Customer Success,Customer Success,Work Permit,P2 - Admin,Processing requests for work permits.,
Customer Success,Customer Success,Move Out Request,P2 - Admin,Requests for moving out of the premises.,
Customer Success,Customer Success,Move In Request,P2 - Admin,Requests for moving into the premises.,
Customer Success,Customer Success,Furniture Move,P2 - Admin,Requests for moving furniture within the premises.,
Customer Success,Customer Success,Office Set-up,P2 - Admin,Requests for setting up office spaces.,
Customer Success,Customer Success,Supplies Request,P2 - Admin,Requests for office supplies.,
Customer Success,Customer Success,Photo / Video Request,P2 - Admin,Requests for photography or videography services.,
Customer Success,Customer Success,Client Viewing Request,P2 - Admin,Requests for scheduling client visits or tours.,
Customer Success,Customer Success,Printing/Scan request,P2 - Admin,Requests for printing or scanning documents.,
Customer Success,Customer Success,Storage Request,P2 - Admin,Requests for storage space or services.,
Customer Success,Customer Success,Cleaning request,P2 - Admin,Requests for cleaning services within the premises.,
Customer Success,Customer Success,Parking / Car pass Requests,P2 - Admin,Requests for parking permits or car passes.,
Customer Success,Customer Success,Planned activities,P2 - Admin,Coordination of planned activities or events.,
Customer Success,Customer Success,Medical Emergency,P2 - Admin,Handling medical emergencies within the premises.,
Customer Success,Customer Success,Medical Certificate Validation,P2 - Admin,Validating medical certificates.,
Customer Success,Customer Success,HMO Enrollment,P2 - Admin,Assisting with Health Maintenance Organization (HMO) enrollment.,
Customer Success,Customer Success,HMO Cancellation,P2 - Admin,Handling requests for canceling HMO memberships.,
Customer Success,Customer Success,HMO Account Update,P2 - Admin,Updating information related to HMO accounts.,
Customer Success,Customer Success,Messengerial /Courier Service Request,P2 - Admin,Requests for messenger or courier services.,
Customer Success,Customer Success,New Office Transfer,P2 - Admin,Handling requests for transferring to a new office locat,
Customer Success,Customer Success,Reservation (Rooms & Event Space),P2 - Admin,Managing reservations for rooms or event spaces.,
Customer Success,Customer Success,Shuttle Booking,P2 - Admin,Booking shuttle services,
Customer Success,Customer Success,Van Repairs & Maintenance,P2 - Admin,Coordination of van repairs and maintenance,
Customer Success,Customer Success,Repairs and Maintenance Request,P2 - Admin,Handling general repair and maintenance requests,
Customer Success,Customer Success,Visitor Access Request,P2 - Admin,Managing requests for visitor access,
Customer Success,Customer Success,Approval Request,P2 - Admin,Handling requests for approvals,
Customer Success,Customer Success,Costing Request,P2 - Admin,Requests for cost estimations or quotations,
Customer Success,Customer Success,Info or Document Request,P2 - Admin,Requests for information or documents,
Customer Success,Customer Success,Phone / Sim Requests,P2 - Admin,Handling requests related to phones or SIM cards,
Customer Success,Customer Success,Orientation / Training Request,P2 - Admin,Requests for orientation or training sessions,
Customer Success,Customer Success,Assistance,P2 - Admin,Providing general assistance as needed,
Customer Success,Customer Success,Access Cards / Room or Office Access Requests,P2 - Admin,Managing requests for access cards or office access,
Customer Success,Customer Success,PME Concerns,P2 - Admin,Addressing concerns related to Performance Management Evaluation (PME).,
Customer Success,Customer Success,APE Concerns,P2 - Admin,Addressing concerns related to Annual Performance Evaluation (APE).,
Customer Success,Customer Success,Safety Concerns,P2 - Admin,Reporting safety concerns within the premises.,
Customer Success,Customer Success,Other Medical Concerns,P2 - Admin,Handling other medical-related concerns.,
Customer Success,Customer Success,Checklists & Reports,P2 - Admin,Managing checklists and generating reports as needed.,
Customer Success,Customer Success,SSS Concerns,P2 - Admin,Addressing concerns related to Social Security System (SSS).,
Customer Success,Customer Success,New Hire Kit Request,P2 - Admin,Handling requests for new hire kits.,
Customer Success,Customer Success,Invoices,P2 - Admin,Handling inquiries or requests related to invoices.,
Customer Success,Customer Success,Gatepass Request,P2 - Admin,Handling requests for pull in/out gatepasses.,
Document Controller,Document Controller,DC Request for Document number of  new ISO process,P1 - Document Controller,Tickets for requesting document numbers for new ISO processes.,
Document Controller,Document Controller,DC Request to update/upload ISO process,P1 - Document Controller,Tickets for requesting updates or uploads of ISO processes.,
Engineering,Engineering,Bio Repair,P1 - Facilities,Any ticket related to the biometric device and magnetic lock checking and repair request,
Engineering,Engineering,Bio Installation/Uninstallation,P1 - Facilities,Any request related to the biometric device and magnetic lock installation and uninstallation,
Engineering,Engineering,CCTV Installation/Uninstallation,P1 - Facilities,Any ticket related to the CCTV and DVR installation and uninstallation,
Engineering,Engineering,CCTV Repair,P1 - Facilities,Any ticket related to the CCTV and DVR checking and repair request,
Engineering,Engineering,General Cabling Works,P1 - Facilities,Any ticket related to cabling works which is not included on the list,
Engineering,Engineering,Port Additional,P1 - Facilities,Any request related to additional port/cable,
Engineering,Engineering,Port Relocation,P1 - Facilities,Any request related to port/cable relocatio,
Engineering,Engineering,Port Repair,P1 - Facilities,Any ticket related to port repair,
Engineering,Engineering,Quotation Request,P1 - Facilities,ny ticket related to quotation/costing request,
Engineering,Engineering,Site Build Layout,P1 - Facilities,"Any request related for new site builds layout (CCTV, Speaker)",
Engineering,Engineering,Switch Backup Power Supply,P1 - Facilities,Any request related to power supply,
